gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math score,reading score,writing score,avg_score,performance
male,group E,bachelor's degree,standard,completed,85,76,77,79.3,High
female,group B,some college,standard,none,72,71,85,76.0,High
male,group C,some college,standard,none,80,85,82,82.3,High
female,group E,some college,standard,none,65,71,73,69.7,Average
female,group C,master's degree,standard,completed,83,71,90,81.3,High
female,group D,master's degree,standard,none,64,70,71,68.3,Average
female,group D,bachelor's degree,free/reduced,none,83,90,74,82.3,High
male,group B,bachelor's degree,standard,completed,76,66,81,74.3,High
female,group C,associate's degree,standard,completed,49,45,58,50.7,Average
male,group C,master's degree,standard,completed,82,90,92,88.0,High
female,group A,associate's degree,standard,none,71,71,66,69.3,Average
male,group A,some college,free/reduced,none,84,67,81,77.3,High
male,group E,high school,standard,completed,52,45,60,52.3,Average
male,group C,bachelor's degree,standard,none,86,83,82,83.7,High
female,group D,bachelor's degree,free/reduced,completed,81,64,73,72.7,High
female,group C,some college,standard,none,37,37,51,41.7,Low
female,group E,some high school,free/reduced,none,92,93,95,93.3,High
male,group C,master's degree,standard,none,70,81,67,72.7,High
female,group C,some high school,standard,none,40,41,37,39.3,Low
female,group E,bachelor's degree,standard,none,57,64,59,60.0,Average
male,group E,master's degree,standard,none,62,73,55,63.3,Average
female,group B,associate's degree,free/reduced,completed,68,80,67,71.7,High
male,group E,some college,free/reduced,none,42,47,48,45.7,Low
female,group C,bachelor's degree,standard,completed,98,83,100,93.7,High
female,group C,bachelor's degree,standard,completed,51,54,59,54.7,Average
male,group B,associate's degree,free/reduced,none,60,70,59,63.0,Average
female,group B,master's degree,free/reduced,none,50,52,61,54.3,Average
male,group D,high school,standard,completed,71,88,72,77.0,High
female,group C,associate's degree,standard,none,88,95,83,88.7,High
female,group C,bachelor's degree,standard,completed,70,72,68,70.0,High
male,group D,master's degree,free/reduced,completed,100,100,100,100.0,High
male,group D,high school,standard,completed,45,52,50,49.0,Low
male,group B,bachelor's degree,standard,none,74,52,71,65.7,Average
female,group D,associate's degree,free/reduced,none,61,59,75,65.0,Average
male,group B,some college,standard,completed,70,82,61,71.0,High
female,group D,high school,standard,none,60,56,54,56.7,Average
female,group D,master's degree,standard,completed,80,77,70,75.7,High
male,group E,high school,standard,none,67,60,72,66.3,Average
female,group A,some college,standard,none,80,95,86,87.0,High
male,group A,some college,standard,completed,68,85,82,78.3,High
female,group C,master's degree,standard,none,56,51,60,55.7,Average
